date,Sleep Score,Total Sleep Score,REM Sleep Score,Deep Sleep Score,Sleep Efficiency Score,Restfulness Score,Sleep Latency Score,Sleep Timin Score,Total Sleep Duration,Total Bedtime ,Awake Time,REM Sleep Duration,Light Sleep Duration,Deep Sleep Duration,Restless Sleep,Sleep Efficiency,Sleep Latency,Sleep Timing,Bedtime Start,Bedtime End,Average Resting Heart Rate,Lowest Resting Heart Rate,Average HRV,Temperature Deviation (°C),Temperature Trend Deviation,Respiratory Rate,Activity Score,Stay Active Score,Move Every Hour Score,Meet Daily Targets Score,Training Frequency Score,Training Volume Score,Activity Burn,Total Burn,Steps,Equivalent Walking Distance,Inactive Time,Rest Time,Low Activity Time,Medium Activity Time,High Activity Time,Non-wear Time,Average MET,Long Periods of Inactivity,Readiness Score,Previous Night Score,Sleep Balance Score,Previous Day Activity Score,Activity Balance Score,Temperature Score,Resting Heart Rate Score,HRV Balance Score,Recovery Index Score
2022-10-10,94,100,100,97,88,76,89,100,35370,40440,5070,9000,19530,6840,22,87,1140,19380,2022-10-09T21:26:45-05:00,2022-10-10T08:40:45-05:00,51.39,47.0,62,0.1,0.14,11.875,78,93,100,100,100,100,850,2981,10430,15571,24780,36300,15120,7800,0,2400,1.6875,0,90,100,91,100,81,96,96,68,100
2022-10-11,91,96,83,100,95,84,78,93,31470,35040,3570,6180,15630,9660,21,90,420,16800,2022-10-10T22:32:00-05:00,2022-10-11T08:16:00-05:00,53.08,48.0,66,0.1,0.16,11.875,74,83,100,100,100,100,945,3077,9539,15918,28500,35520,14220,3300,2760,2100,1.75,0,89,98,93,93,77,96,88,75,91
2022-10-12,95,97,91,100,97,89,91,95,32130,34740,2610,6690,14430,11010,23,92,1050,17310,2022-10-11T22:19:08-05:00,2022-10-12T07:58:08-05:00,51.66,47.0,64,0.03,0.18,12,71,74,95,100,100,100,753,2878,9680,13709,33660,33420,10440,7020,0,1860,1.625,1,85,100,96,20,74,100,96,79,100
2022-10-13,88,87,79,99,97,82,78,100,29160,31560,2400,5850,15060,8250,29,92,420,15690,2022-10-12T22:24:47-05:00,2022-10-13T07:10:47-05:00,52.32,47.0,70,-0.15,0.08,12,73,84,100,100,100,100,920,3070,14654,16177,34560,30360,12000,7320,660,1500,1.75,0,88,89,93,90,73,100,96,86,79
2022-10-14,94,95,96,99,95,86,94,93,31140,34560,3420,7320,15570,8250,24,90,1020,17100,2022-10-13T22:27:34-05:00,2022-10-14T08:03:34-05:00,53.44,48.0,58,-0.02,0.05,12.25,82,80,100,100,100,100,495,2600,9663,9137,30060,33540,14520,3180,0,5100,1.46875,0,88,100,94,65,71,100,88,86,100
2022-10-15,95,100,97,98,96,86,94,88,33210,36300,3090,7800,17940,7470,27,91,780,17310,2022-10-14T22:34:47-05:00,2022-10-15T08:39:47-05:00,53.15,47.0,56,-0.05,0.05,11.75,99,97,100,100,100,100,1339,3474,11490,22741,30720,33900,10620,4920,4440,1800,1.96875,0,92,100,97,100,75,100,96,86,78
2022-10-16,86,85,88,97,95,82,72,90,28530,31800,3270,6510,14730,7290,21,90,330,15600,2022-10-15T22:57:33-05:00,2022-10-16T07:47:33-05:00,53.89,48.0,52,-0.25,-0.01,11.875,94,64,95,100,100,100,644,2754,5360,11751,36720,30420,12180,5580,0,1500,1.5625,1,78,83,93,1,67,96,88,83,100
2022-10-17,84,84,81,97,97,82,75,70,28290,30660,2370,6000,15120,7170,24,92,390,15330,2022-10-16T23:43:02-05:00,2022-10-17T08:14:02-05:00,54.52,49.0,53,0.09,0.03,12,91,71,78,95,100,100,343,2411,6677,6144,36240,36720,10920,1920,0,600,1.375,2,81,78,88,93,69,97,81,81,71
2022-10-18,94,97,96,100,90,84,89,100,32130,36540,4410,7350,14760,10020,21,88,1140,17970,2022-10-17T21:42:17-05:00,2022-10-18T07:51:17-05:00,52.69,46.0,56,0.02,0.09,11.375,98,97,100,95,100,100,854,2959,17184,16141,33360,32460,10920,8520,60,1080,1.6875,0,89,100,91,100,75,100,100,80,65
2022-10-19,90,86,88,99,86,92,97,92,28950,33660,4710,6540,13800,8610,19,86,870,16650,2022-10-18T22:36:37-05:00,2022-10-19T07:57:37-05:00,52.76,49.0,52,-0.04,0.11,11.875,96,83,100,95,100,100,1089,3219,11623,18871,30360,33960,12600,4440,3660,1380,1.8125,0,85,93,88,82,73,100,80,77,99
