Date,Active energy burned(Cal),Activity,Duration(s),Heart rate zone: A Easy (<115bpm)(%),Heart rate zone: B Fat Burn (115-135bpm)(%),Heart rate zone: C Moderate Training (135-155bpm)(%),Heart rate zone: D Hard Training (155-175bpm)(%),Heart rate zone: E Extreme Training (>175bpm)(%),Heart rate: Average(count/min),Heart rate: Maximum(count/min),METs Average(kcal/hr·kg)
2021-12-01 09:08:20,110.656,Walking,1602.384,1.0,0.0,0.0,0.0,0.0,89.285,91.163,4.835
2021-12-02 08:37:47,106.328,Walking,1374.975,1.0,0.0,0.0,0.0,0.0,92.725,93.972,5.276
2021-12-02 09:19:21,421.405,Cycling (Indoor),2705.799,0.0,0.0,0.8,0.2,0.0,150.727,157.552,9.382
2021-12-02 09:19:23,589.0,Cycling (Indoor),2700.0,0.0,0.0,1.0,0.0,0.0,149.021,154.487,
2021-12-02 16:16:21,169.998,Functional Strength Training,2409.948,1.0,0.0,0.0,0.0,0.0,91.628,96.687,4.727
2021-12-03 10:14:08,65.432,Walking,1453.085,1.0,0.0,0.0,0.0,0.0,87.207,95.005,3.364
2021-12-03 14:02:39,121.161,Walking,1635.348,1.0,0.0,0.0,0.0,0.0,89.715,90.226,5.129
2021-12-04 15:08:01,143.101,Walking,2198.744,1.0,0.0,0.0,0.0,0.0,96.534,106.209,4.092
2021-12-05 16:23:32,7.0,Cycling (Indoor),68.0,1.0,0.0,0.0,0.0,0.0,106.214,114.0,
2021-12-05 16:30:29,101.822,Yoga,1251.618,1.0,0.0,0.0,0.0,0.0,89.775,94.533,5.411
2021-12-05 16:31:19,88.0,Yoga (Indoor),1200.0,1.0,0.0,0.0,0.0,0.0,85.017,85.017,
2021-12-06 07:33:46,105.918,Walking,1627.044,1.0,0.0,0.0,0.0,0.0,71.241,96.809,4.196
2021-12-07 06:57:16,63.612,HIIT,482.625,0.0,1.0,0.0,0.0,0.0,122.016,122.016,8.188
2021-12-07 18:16:33,1.585,Walking,91.078,1.0,0.0,0.0,0.0,0.0,85.812,95.0,1.799
2021-12-08 14:55:12,12.189,Functional Strength Training,235.876,1.0,0.0,0.0,0.0,0.0,80.426,91.0,4.001
2021-12-11 09:51:45,91.383,Yoga,1070.767,0.5,0.5,0.0,0.0,0.0,107.962,117.567,5.049
2021-12-11 09:52:00,88.0,Yoga (Indoor),1244.0,0.8,0.2,0.0,0.0,0.0,100.313,117.567,
2021-12-11 11:29:47,104.715,Walking,1766.651,1.0,0.0,0.0,0.0,0.0,101.376,109.0,4.257
2021-12-12 19:47:48,155.72,Yoga,1911.489,1.0,0.0,0.0,0.0,0.0,89.901,105.801,5.249
2021-12-12 19:48:47,110.0,Yoga (Indoor),1530.0,1.0,0.0,0.0,0.0,0.0,105.801,105.801,
2021-12-13 10:05:45,49.934,Walking,689.545,1.0,0.0,0.0,0.0,0.0,103.584,108.0,4.87
2021-12-13 10:17:30,71.942,Functional Strength Training,628.172,0.0,1.0,0.0,0.0,0.0,127.071,127.071,7.253
2021-12-13 10:28:05,50.112,Walking,667.473,0.0,1.0,0.0,0.0,0.0,123.507,123.507,5.219
