Date,Active energy burned(Cal),Activity,Duration(s),Heart rate zone: A Easy (<115bpm)(%),Heart rate zone: B Fat Burn (115-135bpm)(%),Heart rate zone: C Moderate Training (135-155bpm)(%),Heart rate zone: D Hard Training (155-175bpm)(%),Heart rate zone: E Extreme Training (>175bpm)(%),Heart rate: Average(count/min),Heart rate: Maximum(count/min),METs Average(kcal/hr·kg)
2019-10-02 11:09:42,130.663,Walking,1480.536,1.0,0.0,0.0,0.0,0.0,105.051,108.0,
2019-10-02 11:38:28,20.949,Rowing,301.826,0.0,0.5,0.5,0.0,0.0,139.015,148.0,
2019-10-04 09:29:30,126.761,Walking,1521.015,1.0,0.0,0.0,0.0,0.0,90.825,92.043,
2019-10-04 17:46:40,72.755,Walking,996.06,1.0,0.0,0.0,0.0,0.0,105.279,107.0,
2019-10-05 07:15:04,196.812,Running,933.895,0.0,0.0,0.0,1.0,0.0,156.547,156.547,
2019-10-07 08:40:01,114.333,Walking,1468.19,1.0,0.0,0.0,0.0,0.0,92.359,94.585,
2019-10-07 16:40:52,134.793,Walking,1476.929,1.0,0.0,0.0,0.0,0.0,95.729,97.995,
2019-10-08 07:14:05,121.925,Walking,1411.055,,,,,,,,
2019-10-08 08:12:35,319.0,Cycling (Indoor),1800.0,,,,,,,,
2019-10-08 08:15:04,338.122,Cycling (Indoor),1748.327,,,,,,,,
2019-10-08 17:35:15,125.57,Walking,1643.64,,,,,,,,
2019-10-09 08:46:25,132.295,Walking,1568.653,,,,,,,,
2019-10-09 16:02:24,97.776,Walking,1260.977,,,,,,,,
2019-10-10 06:59:04,297.307,Walking,1326.924,,,,,,,,
2019-10-10 18:02:39,87.669,Walking,1140.384,,,,,,,,
2019-10-11 17:20:37,113.722,Walking,1538.03,1.0,0.0,0.0,0.0,0.0,97.519,109.0,
2019-10-12 11:09:42,142.88,Walking,1887.547,1.0,0.0,0.0,0.0,0.0,99.474,105.015,
2019-10-13 10:17:27,142.537,Walking,2206.179,1.0,0.0,0.0,0.0,0.0,95.356,102.0,
2019-10-14 10:15:42,194.922,Running,851.83,0.0,0.0,0.0,1.0,0.0,167.413,167.413,
2019-10-15 08:49:56,124.832,Walking,1899.011,1.0,0.0,0.0,0.0,0.0,94.106,95.995,
2019-10-15 12:03:52,266.0,Cycling (Indoor),1737.0,0.5,0.25,0.25,0.0,0.0,115.275,150.646,
2019-10-15 12:12:03,240.39,Cycling (Indoor),1380.846,0.0,0.667,0.333,0.0,0.0,137.933,150.646,
2019-10-15 17:26:11,81.063,Walking,847.934,1.0,0.0,0.0,0.0,0.0,98.225,98.728,
2019-10-17 08:50:26,106.768,Walking,1509.752,1.0,0.0,0.0,0.0,0.0,97.808,102.0,
2019-10-17 16:42:29,114.525,Walking,1621.696,1.0,0.0,0.0,0.0,0.0,94.434,104.569,
2019-10-18 08:46:56,104.784,Walking,1366.66,1.0,0.0,0.0,0.0,0.0,98.253,101.186,
2019-11-25 07:48:44,359.0,Cycling (Indoor),1800.0,,,,,,,,
