Date,Active energy burned(Cal),Activity,Duration(s),Heart rate zone: A Easy (<115bpm)(%),Heart rate zone: B Fat Burn (115-135bpm)(%),Heart rate zone: C Moderate Training (135-155bpm)(%),Heart rate zone: D Hard Training (155-175bpm)(%),Heart rate zone: E Extreme Training (>175bpm)(%),Heart rate: Average(count/min),Heart rate: Maximum(count/min),METs Average(kcal/hr·kg)
2022-01-01 10:17:06,120.925,Walking,1775.936,1.0,0.0,0.0,0.0,0.0,93.997,96.062,4.756
2022-01-01 16:08:06,41.403,Functional Strength Training,505.322,1.0,0.0,0.0,0.0,0.0,96.334,96.334,5.473
2022-01-01 17:59:55,36.762,Functional Strength Training,485.588,1.0,0.0,0.0,0.0,0.0,98.702,98.702,5.16
2022-01-01 18:17:40,9.57,Functional Strength Training,131.077,0.588,0.412,0.0,0.0,0.0,109.471,123.0,5.293
2022-01-02 11:02:17,381.294,Cycling (Indoor),2700.554,0.0,0.2,0.8,0.0,0.0,134.643,139.894,8.453
2022-01-02 11:02:18,578.0,Cycling (Indoor),2786.0,0.0,0.2,0.8,0.0,0.0,134.643,139.894,
2022-01-03 08:48:29,48.545,Walking,674.084,1.0,0.0,0.0,0.0,0.0,84.418,84.418,5.007
2022-01-03 14:02:35,124.909,Pilates,1946.661,1.0,0.0,0.0,0.0,0.0,89.552,97.806,4.562
2022-01-03 14:03:04,187.0,Functional Strength Training (Indoor),1830.0,1.0,0.0,0.0,0.0,0.0,95.088,97.806,
2022-01-03 16:54:28,20.493,Functional Strength Training,267.716,0.976,0.0,0.0,0.024,0.0,96.214,173.0,5.225
2022-01-03 17:00:20,140.151,Traditional Strength Training,1518.697,0.5,0.5,0.0,0.0,0.0,110.751,115.501,4.196
2022-01-03 17:28:06,95.281,Traditional Strength Training,976.953,1.0,0.0,0.0,0.0,0.0,113.283,113.283,4.855
2022-01-04 08:16:44,71.442,Walking,1066.541,1.0,0.0,0.0,0.0,0.0,86.574,88.669,4.717
2022-01-04 15:51:36,464.424,Cycling (Indoor),2703.923,0.0,0.2,0.2,0.6,0.0,154.75,165.821,10.066
2022-01-04 15:51:39,634.0,Cycling (Indoor),2701.0,0.0,0.0,0.25,0.75,0.0,159.903,165.821,
2022-01-04 16:37:23,53.617,Cycling (Indoor),240.233,0.0,0.0,0.064,0.106,0.83,180.957,188.0,12.976
2022-01-04 16:37:24,90.0,Cycling (Indoor),242.0,0.0,0.0,0.064,0.106,0.83,180.957,188.0,
2022-01-04 18:05:13,156.917,Functional Strength Training,1677.366,1.0,0.0,0.0,0.0,0.0,109.106,112.718,6.073
2022-01-05 16:17:21,72.605,Walking,1103.27,1.0,0.0,0.0,0.0,0.0,98.849,98.849,4.686
2022-01-05 17:23:35,186.866,Functional Strength Training,3892.603,1.0,0.0,0.0,0.0,0.0,76.93,84.196,3.66
2022-01-06 08:20:29,88.507,Walking,1110.952,1.0,0.0,0.0,0.0,0.0,99.953,105.084,5.374
